center,left,right,steering,throttle,brake,speed
./IMG/center_2017_01_29_20_03_33_562.jpg, ./IMG/left_2017_01_29_20_03_33_562.jpg, ./IMG/right_2017_01_29_20_03_33_562.jpg, 0, 0, 0, 7.835001E-05
./IMG/center_2017_01_29_20_03_33_668.jpg, ./IMG/left_2017_01_29_20_03_33_668.jpg, ./IMG/right_2017_01_29_20_03_33_668.jpg, 0, 0, 0, 7.892197E-05
./IMG/center_2017_01_29_20_03_33_769.jpg, ./IMG/left_2017_01_29_20_03_33_769.jpg, ./IMG/right_2017_01_29_20_03_33_769.jpg, 0, 0, 0, 7.864994E-05
./IMG/center_2017_01_29_20_03_33_874.jpg, ./IMG/left_2017_01_29_20_03_33_874.jpg, ./IMG/right_2017_01_29_20_03_33_874.jpg, 0, 0, 0, 7.862063E-05
./IMG/center_2017_01_29_20_03_33_975.jpg, ./IMG/left_2017_01_29_20_03_33_975.jpg, ./IMG/right_2017_01_29_20_03_33_975.jpg, 0, 0, 0, 7.777404E-05
./IMG/center_2017_01_29_20_03_34_078.jpg, ./IMG/left_2017_01_29_20_03_34_078.jpg, ./IMG/right_2017_01_29_20_03_34_078.jpg, 0, 0, 0, 7.85209E-05
./IMG/center_2017_01_29_20_03_34_186.jpg, ./IMG/left_2017_01_29_20_03_34_186.jpg, ./IMG/right_2017_01_29_20_03_34_186.jpg, 0, 0, 0, 7.970661E-05
./IMG/center_2017_01_29_20_03_34_288.jpg, ./IMG/left_2017_01_29_20_03_34_288.jpg, ./IMG/right_2017_01_29_20_03_34_288.jpg, 0, 0, 0, 7.824421E-05
./IMG/center_2017_01_29_20_03_34_395.jpg, ./IMG/left_2017_01_29_20_03_34_395.jpg, ./IMG/right_2017_01_29_20_03_34_395.jpg, 0, 0, 0, 7.956535E-05
./IMG/center_2017_01_29_20_03_46_267.jpg, ./IMG/left_2017_01_29_20_03_46_267.jpg, ./IMG/right_2017_01_29_20_03_46_267.jpg, -0.1188574, 0.2544178, 0, 23.18254
./IMG/center_2017_01_29_20_03_46_369.jpg, ./IMG/left_2017_01_29_20_03_46_369.jpg, ./IMG/right_2017_01_29_20_03_46_369.jpg, -0.1188574, 0.2544178, 0, 23.24833
./IMG/center_2017_01_29_20_03_46_471.jpg, ./IMG/left_2017_01_29_20_03_46_471.jpg, ./IMG/right_2017_01_29_20_03_46_471.jpg, -0.1091745, 0.2544178, 0, 23.33453
./IMG/center_2017_01_29_20_03_46_580.jpg, ./IMG/left_2017_01_29_20_03_46_580.jpg, ./IMG/right_2017_01_29_20_03_46_580.jpg, -0.1091745, 0.2544178, 0, 23.42342
./IMG/center_2017_01_29_20_03_46_686.jpg, ./IMG/left_2017_01_29_20_03_46_686.jpg, ./IMG/right_2017_01_29_20_03_46_686.jpg, -0.09949163, 0.2544178, 0, 23.49501
./IMG/center_2017_01_29_20_03_46_794.jpg, ./IMG/left_2017_01_29_20_03_46_794.jpg, ./IMG/right_2017_01_29_20_03_46_794.jpg, -0.09949163, 0.2544178, 0, 23.57072
./IMG/center_2017_01_29_20_03_46_903.jpg, ./IMG/left_2017_01_29_20_03_46_903.jpg, ./IMG/right_2017_01_29_20_03_46_903.jpg, -0.09949163, 0.2544178, 0, 23.65736
./IMG/center_2017_01_29_20_03_47_005.jpg, ./IMG/left_2017_01_29_20_03_47_005.jpg, ./IMG/right_2017_01_29_20_03_47_005.jpg, -0.09949163, 0.2447349, 0, 23.7236
./IMG/center_2017_01_29_20_03_47_111.jpg, ./IMG/left_2017_01_29_20_03_47_111.jpg, ./IMG/right_2017_01_29_20_03_47_111.jpg, -0.09949163, 0.2544178, 0, 23.78294
./IMG/center_2017_01_29_20_03_47_214.jpg, ./IMG/left_2017_01_29_20_03_47_214.jpg, ./IMG/right_2017_01_29_20_03_47_214.jpg, -0.08012585, 0.2447349, 0, 23.84654
./IMG/center_2017_01_29_20_03_51_846.jpg, ./IMG/left_2017_01_29_20_03_51_846.jpg, ./IMG/right_2017_01_29_20_03_51_846.jpg, -0.08012585, 0.002662782, 0, 18.64138
./IMG/center_2017_01_29_20_03_51_955.jpg, ./IMG/left_2017_01_29_20_03_51_955.jpg, ./IMG/right_2017_01_29_20_03_51_955.jpg, -0.07044297, 0, 0, 18.42861
./IMG/center_2017_01_29_20_03_52_056.jpg, ./IMG/left_2017_01_29_20_03_52_056.jpg, ./IMG/right_2017_01_29_20_03_52_056.jpg, -0.2641007, 0.1866376, 0, 17.7852
./IMG/center_2017_01_29_20_03_52_163.jpg, ./IMG/left_2017_01_29_20_03_52_163.jpg, ./IMG/right_2017_01_29_20_03_52_163.jpg, -0.3899783, 0.2447349, 0, 18.26511
./IMG/center_2017_01_29_20_03_52_267.jpg, ./IMG/left_2017_01_29_20_03_52_267.jpg, ./IMG/right_2017_01_29_20_03_52_267.jpg, -0.3899783, 0.235052, 0, 17.9402
./IMG/center_2017_01_29_20_03_52_372.jpg, ./IMG/left_2017_01_29_20_03_52_372.jpg, ./IMG/right_2017_01_29_20_03_52_372.jpg, -0.3899783, 0.1963205, 0, 18.4286
./IMG/center_2017_01_29_20_03_52_491.jpg, ./IMG/left_2017_01_29_20_03_52_491.jpg, ./IMG/right_2017_01_29_20_03_52_491.jpg, -0.2253692, 0.01234567, 0, 18.39517
./IMG/center_2017_01_29_20_03_52_595.jpg, ./IMG/left_2017_01_29_20_03_52_595.jpg, ./IMG/right_2017_01_29_20_03_52_595.jpg, -0.2253692, 0.01234567, 0, 18.2119
./IMG/center_2017_01_29_20_03_52_702.jpg, ./IMG/left_2017_01_29_20_03_52_702.jpg, ./IMG/right_2017_01_29_20_03_52_702.jpg, -0.2253692, 0.06076009, 0, 17.55674
./IMG/center_2017_01_29_20_03_52_810.jpg, ./IMG/left_2017_01_29_20_03_52_810.jpg, ./IMG/right_2017_01_29_20_03_52_810.jpg, -0.2253692, 0.06076009, 0, 17.9563
./IMG/center_2017_01_29_20_03_52_911.jpg, ./IMG/left_2017_01_29_20_03_52_911.jpg, ./IMG/right_2017_01_29_20_03_52_911.jpg, -0.2156862, 0.02202855, 0, 17.32579
./IMG/center_2017_01_29_20_03_53_019.jpg, ./IMG/left_2017_01_29_20_03_53_019.jpg, ./IMG/right_2017_01_29_20_03_53_019.jpg, -0.2253692, 0.05107721, 0, 17.17488
